lambda,Fnorm,KL,MCC,sensitivity,specificity,f1,plot_paths
0.0,0.4195044213253058,-0.3749809100293078,0.9975266900374306,0.9977194982896237,0.9998071917478069,0.9977194982896237,experiment_logs/n_150_scale_5/alpha_0.970\sparsity_patterns_lambda_0.000.png
0.05555555555555555,1.968587513688078,13.269867904872683,0.9854278540657871,0.9828962371721779,0.999180564928179,0.9865522174535051,experiment_logs/n_150_scale_5/alpha_0.970\sparsity_patterns_lambda_0.056.png
0.1111111111111111,3.5049891221055622,27.361473266103758,0.9539957669856508,0.9589509692132269,0.996288441145281,0.9575861087389695,experiment_logs/n_150_scale_5/alpha_0.970\sparsity_patterns_lambda_0.111.png
0.16666666666666666,4.724330126488434,41.87784631673901,0.9147604820329633,0.9224629418472063,0.9932517111732382,0.9214123006833712,experiment_logs/n_150_scale_5/alpha_0.970\sparsity_patterns_lambda_0.167.png
0.2222222222222222,5.700222828288772,56.60631141598293,0.873775170985207,0.8779931584948689,0.9907452038947266,0.8835341365461846,experiment_logs/n_150_scale_5/alpha_0.970\sparsity_patterns_lambda_0.222.png
0.2777777777777778,6.493052073647117,71.34608123447515,0.83102008939166,0.8244013683010262,0.9890099296249879,0.8436406067677946,experiment_logs/n_150_scale_5/alpha_0.970\sparsity_patterns_lambda_0.278.png
0.3333333333333333,7.1512108289142775,86.00204083042826,0.8018128236368851,0.7867730900798175,0.988045888364022,0.8160851567120047,experiment_logs/n_150_scale_5/alpha_0.970\sparsity_patterns_lambda_0.333.png
0.38888888888888884,7.702740249947934,100.4338545654332,0.7687430245530116,0.7411630558722919,0.9874192615443941,0.7843137254901961,experiment_logs/n_150_scale_5/alpha_0.970\sparsity_patterns_lambda_0.389.png
0.4444444444444444,8.171213090518398,114.56972827794272,0.7328588305532069,0.6944127708095781,0.986599826472573,0.7495384615384615,experiment_logs/n_150_scale_5/alpha_0.970\sparsity_patterns_lambda_0.444.png
0.5,8.57610261904904,128.4064853450248,0.7072241351804807,0.6590649942987458,0.9863588161573316,0.7240839336047604,experiment_logs/n_150_scale_5/alpha_0.970\sparsity_patterns_lambda_0.500.png
