lambda,f1,plot_paths
0.1,0.8737373737373737,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_0.100.png
0.16551724137931034,0.8459530026109661,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_0.166.png
0.23103448275862068,0.8203753351206435,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_0.231.png
0.296551724137931,0.8055555555555556,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_0.297.png
0.3620689655172413,0.7616279069767442,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_0.362.png
0.4275862068965517,0.7228915662650603,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_0.428.png
0.49310344827586206,0.6855345911949685,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_0.493.png
0.5586206896551723,0.6360655737704918,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_0.559.png
0.6241379310344827,0.6013513513513513,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_0.624.png
0.689655172413793,0.5958904109589042,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_0.690.png
0.7551724137931034,0.5664335664335665,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_0.755.png
0.8206896551724137,0.509090909090909,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_0.821.png
0.886206896551724,0.49446494464944657,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_0.886.png
0.9517241379310344,0.4696969696969696,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_0.952.png
1.0172413793103448,0.434108527131783,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_1.017.png
1.0827586206896551,0.40944881889763785,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_1.083.png
1.1482758620689655,0.38399999999999995,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_1.148.png
1.2137931034482758,0.3025210084033614,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_1.214.png
1.2793103448275862,0.28205128205128205,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_1.279.png
1.3448275862068966,0.28326180257510736,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_1.345.png
1.410344827586207,0.2608695652173913,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_1.410.png
1.475862068965517,0.23893805309734514,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_1.476.png
1.5413793103448274,0.2311111111111111,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_1.541.png
1.6068965517241378,0.2232142857142857,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_1.607.png
1.6724137931034482,0.19090909090909092,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_1.672.png
1.7379310344827585,0.19090909090909092,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_1.738.png
1.803448275862069,0.15813953488372093,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_1.803.png
1.8689655172413793,0.14084507042253522,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_1.869.png
1.9344827586206894,0.1320754716981132,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_1.934.png
2.0,0.1320754716981132,experiment_logs/n_50_scale_5.0_d5\sparsity_lambda_2.000.png
