lambda,f1
0.0,0.48756218905472637
0.010344827586206896,0.5747800586510264
0.020689655172413793,0.7025089605734767
0.03103448275862069,0.8270042194092826
0.041379310344827586,0.8868778280542986
0.05172413793103448,0.9333333333333333
0.06206896551724138,0.9607843137254902
0.07241379310344828,0.9702970297029703
0.08275862068965517,0.9751243781094527
0.09310344827586206,0.98
0.10344827586206896,0.9849246231155778
0.11379310344827587,0.98989898989899
0.12413793103448276,0.98989898989899
0.13448275862068965,0.98989898989899
0.14482758620689656,0.98989898989899
0.15517241379310345,0.98989898989899
0.16551724137931034,0.98989898989899
0.17586206896551723,0.98989898989899
0.18620689655172412,0.98989898989899
0.19655172413793104,0.98989898989899
0.20689655172413793,0.98989898989899
0.21724137931034482,0.98989898989899
0.22758620689655173,0.98989898989899
0.23793103448275862,0.98989898989899
0.2482758620689655,0.98989898989899
0.25862068965517243,0.98989898989899
0.2689655172413793,0.98989898989899
0.2793103448275862,0.98989898989899
0.2896551724137931,0.98989898989899
0.3,0.98989898989899
