lambda,f1,plot_paths
0.1,0.8680851063829788,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_0.100.png
0.16551724137931034,0.7963800904977376,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_0.166.png
0.23103448275862068,0.7511737089201878,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_0.231.png
0.296551724137931,0.7317073170731707,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_0.297.png
0.3620689655172413,0.6965174129353234,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_0.362.png
0.4275862068965517,0.6735751295336787,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_0.428.png
0.49310344827586206,0.6526315789473685,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_0.493.png
0.5586206896551723,0.6162162162162163,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_0.559.png
0.6241379310344827,0.5777777777777777,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_0.624.png
0.689655172413793,0.5029239766081871,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_0.690.png
0.7551724137931034,0.48520710059171596,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_0.755.png
0.8206896551724137,0.48809523809523814,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_0.821.png
0.886206896551724,0.4698795180722892,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_0.886.png
0.9517241379310344,0.4567901234567901,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_0.952.png
1.0172413793103448,0.4472049689440994,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_1.017.png
1.0827586206896551,0.42767295597484273,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_1.083.png
1.1482758620689655,0.3790849673202614,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_1.148.png
1.2137931034482758,0.3466666666666667,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_1.214.png
1.2793103448275862,0.33783783783783783,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_1.279.png
1.3448275862068966,0.32653061224489793,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_1.345.png
1.410344827586207,0.32653061224489793,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_1.410.png
1.475862068965517,0.30344827586206896,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_1.476.png
1.5413793103448274,0.2695035460992908,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_1.541.png
1.6068965517241378,0.2571428571428571,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_1.607.png
1.6724137931034482,0.2318840579710145,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_1.672.png
1.7379310344827585,0.20588235294117646,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_1.738.png
1.803448275862069,0.19259259259259257,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_1.803.png
1.8689655172413793,0.17910447761194026,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_1.869.png
1.9344827586206894,0.18045112781954886,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_1.934.png
2.0,0.16666666666666669,experiment_logs/n_30_scale_5.0_d5\sparsity_lambda_2.000.png
