lambda,Fnorm,KL,MCC,sensitivity,specificity,f1,plot_paths
0.1,29.731100909406557,-172.67397249263854,0.4243808485261192,0.90625,0.9333847270088881,0.3495479982780887,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_0.100.png
0.16551724137931034,13.256679987071724,-105.65489938075936,0.7349597356070856,0.8638392857142857,0.9899328859060402,0.7322611163670766,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_0.166.png
0.23103448275862068,6.893593717657279,-58.90556967808857,0.8627609984044652,0.8125,0.9985942318157083,0.863582443653618,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_0.231.png
0.296551724137931,4.720417699679918,-23.3853828166269,0.8652759560176696,0.7700892857142857,0.9996372211137312,0.8614232209737828,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_0.297.png
0.3620689655172413,4.777756213710004,5.478393061768884,0.8559650169876424,0.7433035714285714,0.9998639579176491,0.8494897959183674,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_0.362.png
0.4275862068965517,5.578795375675666,30.102029730155408,0.8453685349677684,0.7209821428571429,0.9999546526392163,0.8367875647668394,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_0.428.png
0.49310344827586206,6.463869990664474,51.82137245427444,0.8210780054025923,0.6785714285714286,1.0,0.8085106382978724,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_0.493.png
0.5586206896551723,7.274351886911539,71.48944744301147,0.8086686447489059,0.6584821428571429,1.0,0.794078061911171,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_0.559.png
0.6241379310344827,7.992184820581522,89.74695338549142,0.7904184296507524,0.6294642857142857,1.0,0.7726027397260274,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_0.624.png
0.689655172413793,8.623570775838845,106.92266640822118,0.771758862787054,0.6004464285714286,1.0,0.7503486750348676,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_0.690.png
0.7551724137931034,9.185151055917778,123.39484131154279,0.7466890238793369,0.5625,1.0,0.72,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_0.755.png
0.8206896551724137,9.680448526604373,139.1497484036381,0.73764685752417,0.5491071428571429,1.0,0.7089337175792508,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_0.821.png
0.886206896551724,10.122345550117911,154.34262775325806,0.7254230888264679,0.53125,1.0,0.6938775510204082,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_0.886.png
0.9517241379310344,10.520125730947186,169.07017755063646,0.7067081451829771,0.5044642857142857,1.0,0.6706231454005935,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_0.952.png
1.0172413793103448,10.879788720647575,183.39947712697665,0.6826230052307131,0.47098214285714285,1.0,0.6403641881638847,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_1.017.png
1.0827586206896551,11.207593134553857,197.43621834466092,0.6593810409313074,0.43973214285714285,1.0,0.6108527131782946,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_1.083.png
1.1482758620689655,11.505256047448194,211.1340935638192,0.6300487326627631,0.4017857142857143,1.0,0.5732484076433121,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_1.148.png
1.2137931034482758,11.775095965627436,224.46713909790782,0.6157781813225655,0.38392857142857145,1.0,0.5548387096774194,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_1.214.png
1.2793103448275862,12.020299705505508,237.44174475796865,0.6085213445392089,0.375,1.0,0.5454545454545454,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_1.279.png
1.3448275862068966,12.242621943797973,250.0441049473447,0.5993304799156712,0.3638392857142857,1.0,0.5335515548281506,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_1.345.png
1.410344827586207,12.444943645321892,262.3011485683309,0.586228357621348,0.3482142857142857,1.0,0.5165562913907285,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_1.410.png
1.475862068965517,12.632186771215244,274.34766601811185,0.57476703355111,0.33482142857142855,1.0,0.5016722408026756,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_1.476.png
1.5413793103448274,12.807467207080775,286.25244983694404,0.57476703355111,0.33482142857142855,1.0,0.5016722408026756,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_1.541.png
1.6068965517241378,12.972087704329372,298.04390993977427,0.57476703355111,0.33482142857142855,1.0,0.5016722408026756,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_1.607.png
1.6724137931034482,13.125537337991114,309.62693292713027,0.57476703355111,0.33482142857142855,1.0,0.5016722408026756,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_1.672.png
1.7379310344827585,13.269031295568855,321.01582682961885,0.57476703355111,0.33482142857142855,1.0,0.5016722408026756,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_1.738.png
1.803448275862069,13.404173024545464,332.2749510104026,0.57476703355111,0.33482142857142855,1.0,0.5016722408026756,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_1.803.png
1.8689655172413793,13.531586915333277,343.4075883815582,0.57476703355111,0.33482142857142855,1.0,0.5016722408026756,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_1.869.png
1.9344827586206894,13.651791900437448,354.38976960874913,0.57476703355111,0.33482142857142855,1.0,0.5016722408026756,experiment_logs/n_150_scale_2.0\sparsity_patterns_lambda_1.934.png
