lambda,Fnorm,KL,MCC,sensitivity,specificity,f1,plot_paths
0.1,18.210133662000175,-79.04601359740965,0.1726427958029531,0.9496644295302014,0.5562770562770563,0.11584117887842817,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_0.100.png
0.16551724137931034,7.901141303178795,-40.211428850178436,0.22916248043833534,0.9463087248322147,0.6878994021851165,0.15631929046563192,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_0.166.png
0.23103448275862068,4.714648464970199,-13.642426280438144,0.2794721673621314,0.9194630872483222,0.7816944959802102,0.20371747211895908,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_0.231.png
0.296551724137931,4.426047828826273,6.885794740159795,0.32589521472800304,0.8926174496644296,0.8426097711811997,0.25442372070779534,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_0.297.png
0.3620689655172413,5.117402787210557,23.9352428145248,0.37923397574475254,0.8691275167785235,0.8891981034838178,0.3174019607843137,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_0.362.png
0.4275862068965517,5.94207946440637,38.77906339120085,0.42436870033277946,0.8456375838926175,0.9181612038754896,0.375,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_0.428.png
0.49310344827586206,6.714620061014986,52.30038429911215,0.4667835011198697,0.8187919463087249,0.9393939393939394,0.431858407079646,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_0.493.png
0.5586206896551723,7.392354947673486,64.73740095234317,0.5005074796575641,0.7986577181208053,0.9523809523809523,0.47695390781563124,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_0.559.png
0.6241379310344827,7.984325328057007,76.45387787373795,0.5356925829628731,0.785234899328859,0.9623788909503195,0.5217391304347825,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_0.624.png
0.689655172413793,8.506122710369233,87.62420755248763,0.5652639114729459,0.7651006711409396,0.9703153988868275,0.5601965601965603,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_0.690.png
0.7551724137931034,8.966007236935509,98.34636793393454,0.58821321118954,0.738255033557047,0.976602762317048,0.5906040268456376,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_0.755.png
0.8206896551724137,9.369083460347431,108.60032129594623,0.6004671943710761,0.7248322147651006,0.979488765203051,0.605890603085554,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_0.821.png
0.886206896551724,9.729669066564323,118.59571516511528,0.6155361982367485,0.7114093959731543,0.9824778396206968,0.6235294117647058,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_0.886.png
0.9517241379310344,10.055609878858414,128.40197985375488,0.6367028487896937,0.7046979865771812,0.9853638425066996,0.6461538461538461,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_0.952.png
1.0172413793103448,10.352753732663512,138.05951758949323,0.6501674946873106,0.6946308724832215,0.9874252731395589,0.6602870813397129,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_1.017.png
1.0827586206896551,10.624981233503226,147.59809380991888,0.6461979538642102,0.6711409395973155,0.9885590599876314,0.6568144499178982,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_1.083.png
1.1482758620689655,10.87093838617062,156.89954685412232,0.6402891155452459,0.6409395973154363,0.98989898989899,0.6507666098807496,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_1.148.png
1.2137931034482758,11.092158695276472,165.93355499111203,0.6406717428344492,0.6241610738255033,0.9909297052154195,0.6503496503496502,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_1.214.png
1.2793103448275862,11.289737771052259,174.63612701234,0.6405277304466304,0.6040268456375839,0.9920634920634921,0.6486486486486487,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_1.279.png
1.3448275862068966,11.470392483209404,183.14549476575286,0.6424519392454036,0.5973154362416108,0.9925788497217068,0.6496350364963505,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_1.345.png
1.410344827586207,11.636385899929252,191.46520057018057,0.640744278216678,0.587248322147651,0.9929911358482787,0.6469500924214419,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_1.410.png
1.475862068965517,11.790533496604633,199.66727676564244,0.6410427631905862,0.5738255033557047,0.9937126365697794,0.6452830188679245,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_1.476.png
1.5413793103448274,11.933980881228221,207.7309329415304,0.6405897403360307,0.5671140939597316,0.9940218511647083,0.6438095238095238,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_1.541.png
1.6068965517241378,12.068065356062847,215.6871033028259,0.634321806255427,0.5503355704697986,0.9944341372912802,0.6356589147286822,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_1.607.png
1.6724137931034482,12.191952974114365,223.43507897325446,0.6363065561016845,0.540268456375839,0.9950525664811379,0.6351084812623274,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_1.672.png
1.7379310344827585,12.308546974189118,231.08017437442055,0.6370546470725611,0.5369127516778524,0.9952587095444239,0.6349206349206349,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_1.738.png
1.803448275862069,12.418111914658315,238.59704798597738,0.6353373887555422,0.5302013422818792,0.9954648526077098,0.632,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_1.803.png
1.8689655172413793,12.522476367607373,246.06223078318715,0.6311890373342234,0.5134228187919463,0.9959802102659245,0.6244897959183673,experiment_logs/n_100_scale_2.0\sparsity_patterns_lambda_1.869.png
