sample_scaling,F1,d
1.0,0.3890148007543363,3
1.4736842105263157,0.5635512618422738,3
1.9473684210526314,0.6937062746058361,3
2.4210526315789473,0.7777694867239029,3
2.894736842105263,0.8338498206477751,3
3.3684210526315788,0.8851516708452829,3
3.8421052631578947,0.9123071962660804,3
4.315789473684211,0.9120221830661583,3
4.789473684210526,0.9352886720116385,3
5.263157894736842,0.9436590922734567,3
5.7368421052631575,0.9415486541779808,3
6.2105263157894735,0.943849559442476,3
6.684210526315789,0.942769693788876,3
7.157894736842105,0.9443278070275595,3
7.63157894736842,0.9557849253687873,3
8.105263157894736,0.9576311348479054,3
8.578947368421051,0.9646865849597459,3
9.052631578947368,0.9657113988102521,3
9.526315789473683,0.9617624107391723,3
10.0,0.9590659250843331,3
1.0,0.7669165390617759,5
1.4736842105263157,0.7775426521853374,5
1.9473684210526314,0.7696217255361099,5
2.4210526315789473,0.7736759729020195,5
2.894736842105263,0.7837331069155443,5
3.3684210526315788,0.771902254290419,5
3.8421052631578947,0.7819494269955826,5
4.315789473684211,0.7747995968571287,5
4.789473684210526,0.7929184995175853,5
5.263157894736842,0.7853658057532861,5
5.7368421052631575,0.7829957539671776,5
6.2105263157894735,0.7815633981006147,5
6.684210526315789,0.7843621857674954,5
7.157894736842105,0.7800290551171489,5
7.63157894736842,0.7801488589784986,5
8.105263157894736,0.7818437684212973,5
8.578947368421051,0.7809311162154462,5
9.052631578947368,0.779264629765224,5
9.526315789473683,0.7850733515843907,5
10.0,0.788270114000675,5
1.0,0.6631750465312864,7
1.4736842105263157,0.6698566712408028,7
1.9473684210526314,0.6737035120858105,7
2.4210526315789473,0.683017660371284,7
2.894736842105263,0.6815689545313889,7
3.3684210526315788,0.6808507692692957,7
3.8421052631578947,0.6815698596860003,7
4.315789473684211,0.6810792521397153,7
4.789473684210526,0.6850851096997874,7
5.263157894736842,0.6823090438802499,7
5.7368421052631575,0.6843136685827684,7
6.2105263157894735,0.6873696965279396,7
6.684210526315789,0.6858542157152067,7
7.157894736842105,0.687897821978186,7
7.63157894736842,0.6856371282105609,7
8.105263157894736,0.6876940845685853,7
8.578947368421051,0.688399762820144,7
9.052631578947368,0.6840396354286679,7
9.526315789473683,0.6868782061043432,7
10.0,0.6859358937512084,7
1.0,0.6445326981795578,9
1.4736842105263157,0.6540133689378723,9
1.9473684210526314,0.6549340448138972,9
2.4210526315789473,0.6525137292808458,9
2.894736842105263,0.6559494521761399,9
3.3684210526315788,0.6587308462197483,9
3.8421052631578947,0.6577291446330971,9
4.315789473684211,0.6535638685445635,9
4.789473684210526,0.6589507289873114,9
5.263157894736842,0.6581387064777325,9
5.7368421052631575,0.6605251362107631,9
6.2105263157894735,0.6551506714508599,9
6.684210526315789,0.6543283254188023,9
7.157894736842105,0.6561209665358192,9
7.63157894736842,0.658124030414525,9
8.105263157894736,0.6541565577059044,9
8.578947368421051,0.6583319212905939,9
9.052631578947368,0.656518382054733,9
9.526315789473683,0.6509580220982626,9
10.0,0.6561456424773788,9
