lambda,f1
0.0,0.07142857142857142
0.010344827586206896,0.14720581553839163
0.020689655172413793,0.2850857897052354
0.03103448275862069,0.4621968616262482
0.041379310344827586,0.638423645320197
0.05172413793103448,0.7543655413271245
0.06206896551724138,0.8350515463917526
0.07241379310344828,0.8901098901098902
0.08275862068965517,0.9191489361702128
0.09310344827586206,0.9432314410480349
0.10344827586206896,0.9585798816568047
0.11379310344827587,0.9642857142857143
0.12413793103448276,0.9744360902255639
0.13448275862068965,0.9788519637462235
0.14482758620689656,0.9818181818181818
0.15517241379310345,0.9863013698630138
0.16551724137931034,0.9862595419847328
0.17586206896551723,0.9877300613496932
0.18620689655172412,0.9845201238390092
0.19655172413793104,0.9829457364341084
0.20689655172413793,0.975
0.21724137931034482,0.9669291338582676
0.22758620689655173,0.9554140127388535
0.23793103448275862,0.9367909238249595
0.2482758620689655,0.9228243021346468
0.25862068965517243,0.8877551020408163
0.2689655172413793,0.8566433566433567
0.2793103448275862,0.8300536672629696
0.2896551724137931,0.7798507462686566
0.3,0.7265625000000001
