lambda,f1
0.0,0.5106382978723404
0.013793103448275864,0.7795823665893271
0.027586206896551727,0.8235294117647058
0.04137931034482759,0.81
0.055172413793103454,0.7707808564231737
0.06896551724137932,0.7441860465116279
0.08275862068965519,0.7200000000000001
0.09655172413793105,0.7146666666666666
0.11034482758620691,0.6994535519125683
0.12413793103448277,0.6758241758241758
0.13793103448275865,0.6592178770949721
0.1517241379310345,0.6184971098265897
0.16551724137931037,0.6011904761904762
0.17931034482758623,0.5846153846153846
0.1931034482758621,0.5625
0.20689655172413796,0.5523809523809524
0.22068965517241382,0.5342019543973942
0.23448275862068968,0.5217391304347826
0.24827586206896554,0.5185185185185185
0.2620689655172414,0.48797250859106533
0.2758620689655173,0.4808362369337979
0.2896551724137931,0.4659498207885305
0.303448275862069,0.4581818181818182
0.31724137931034485,0.4485294117647059
0.33103448275862074,0.4428044280442804
0.3448275862068966,0.43609022556390975
0.35862068965517246,0.4230769230769231
0.3724137931034483,0.416988416988417
0.3862068965517242,0.416988416988417
0.4,0.4108527131782945
