lambda,f1,plot_paths
0.1,0.8590604026845637,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_0.100.png
0.16551724137931034,0.7598566308243727,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_0.166.png
0.23103448275862068,0.6436781609195402,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_0.231.png
0.296551724137931,0.5573770491803278,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_0.297.png
0.3620689655172413,0.5254237288135594,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_0.362.png
0.4275862068965517,0.4999999999999999,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_0.428.png
0.49310344827586206,0.43438914027149317,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_0.493.png
0.5586206896551723,0.4128440366972477,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_0.559.png
0.6241379310344827,0.3696682464454977,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_0.624.png
0.689655172413793,0.3431372549019608,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_0.690.png
0.7551724137931034,0.2755102040816327,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_0.755.png
0.8206896551724137,0.23036649214659688,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_0.821.png
0.886206896551724,0.21276595744680848,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_0.886.png
0.9517241379310344,0.18378378378378377,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_0.952.png
1.0172413793103448,0.1639344262295082,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_1.017.png
1.0827586206896551,0.1639344262295082,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_1.083.png
1.1482758620689655,0.13333333333333333,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_1.148.png
1.2137931034482758,0.1229050279329609,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_1.214.png
1.2793103448275862,0.11235955056179775,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_1.279.png
1.3448275862068966,0.11235955056179775,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_1.345.png
1.410344827586207,0.10169491525423728,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_1.410.png
1.475862068965517,0.10169491525423728,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_1.476.png
1.5413793103448274,0.0909090909090909,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_1.541.png
1.6068965517241378,0.0909090909090909,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_1.607.png
1.6724137931034482,0.07999999999999999,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_1.672.png
1.7379310344827585,0.07999999999999999,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_1.738.png
1.803448275862069,0.07999999999999999,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_1.803.png
1.8689655172413793,0.05780346820809249,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_1.869.png
1.9344827586206894,0.046511627906976744,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_1.934.png
2.0,0.03508771929824561,experiment_logs/n_30_scale_5.0_d7\sparsity_lambda_2.000.png
