lambda,f1
0.0,0.2624434389140271
0.010344827586206896,0.3778501628664495
0.020689655172413793,0.5
0.03103448275862069,0.6041666666666666
0.041379310344827586,0.7295597484276729
0.05172413793103448,0.7945205479452054
0.06206896551724138,0.8467153284671534
0.07241379310344828,0.8854961832061068
0.08275862068965517,0.8923076923076924
0.09310344827586206,0.8923076923076924
0.10344827586206896,0.9133858267716535
0.11379310344827587,0.9354838709677419
0.12413793103448276,0.9354838709677419
0.13448275862068965,0.9354838709677419
0.14482758620689656,0.9354838709677419
0.15517241379310345,0.9354838709677419
0.16551724137931034,0.9430894308943091
0.17586206896551723,0.9430894308943091
0.18620689655172412,0.9430894308943091
0.19655172413793104,0.9430894308943091
0.20689655172413793,0.9430894308943091
0.21724137931034482,0.9430894308943091
0.22758620689655173,0.9430894308943091
0.23793103448275862,0.9430894308943091
0.2482758620689655,0.9430894308943091
0.25862068965517243,0.9430894308943091
0.2689655172413793,0.9430894308943091
0.2793103448275862,0.9430894308943091
0.2896551724137931,0.9354838709677419
0.3,0.9354838709677419
